SeriesInstanceUID,prediction
1.3.46.670589.11.10042.5.0.6048.2024030714370454603,0
1.3.46.670589.11.10042.5.0.6048.2024030714374623680,0
1.3.46.670589.11.10042.5.0.6048.2024030714384646691,0
1.3.46.670589.11.10042.5.0.4776.2024021703080051431,0
1.3.46.670589.11.10042.5.0.4776.2024021703084695456,0
1.3.46.670589.11.10042.5.0.4776.2024021703101954483,0
1.3.46.670589.11.10042.5.0.5548.2024010423593634845,0
1.3.46.670589.11.10042.5.0.5548.2024010500002176846,0
1.3.46.670589.11.10042.5.0.5548.2024010500030685900,0
1.3.46.670589.11.10042.5.0.3364.2024011114090729632,0
1.3.46.670589.11.10042.5.0.3364.2024011114094843633,0
1.3.46.670589.11.10042.5.0.3364.2024011114104878664,0
1.3.46.670589.11.10042.5.0.6596.2024012009361512798,0
1.3.46.670589.11.10042.5.0.6596.2024012009371028799,0
1.3.46.670589.11.10042.5.0.6596.2024012009381017830,0
1.3.46.670589.11.10042.5.0.4776.2024021620560467411,0
1.3.46.670589.11.10042.5.0.4776.2024021620570745412,0
1.3.46.670589.11.10042.5.0.4776.2024021620583534465,0
1.3.46.670589.11.10042.5.0.6596.2024022114520585576,0
1.3.46.670589.11.10042.5.0.6596.2024022114530132577,0
1.3.46.670589.11.10042.5.0.6596.2024022114542546608,0
1.3.46.670589.11.10042.5.0.7984.2024022414083201306,0
1.3.46.670589.11.10042.5.0.7984.2024022414075690305,0
1.3.46.670589.11.10042.5.0.7984.2024022414110217444,0
1.3.46.670589.11.10042.5.0.3868.2023122816433700497,0
1.3.46.670589.11.10042.5.0.3868.2023122816453581549,0
1.3.46.670589.11.10042.5.0.3868.2023122816464345551,0
1.3.46.670589.11.10042.5.0.5244.2024011514021203451,0
1.3.46.670589.11.10042.5.0.5244.2024011514035276483,0
1.3.46.670589.11.10042.5.0.5244.2024011514063439527,0
1.3.46.670589.11.10042.5.0.7984.2024022316081810375,0
1.3.46.670589.11.10042.5.0.7984.2024022316085335376,0
1.3.46.670589.11.10042.5.0.7984.2024022316101884407,0
1.3.46.670589.11.10042.5.0.6840.2023122400165489007,1
1.3.46.670589.11.10042.5.0.6840.2023122400174026008,1
1.3.46.670589.11.10042.5.0.6840.2023122400183617041,1
1.3.46.670589.11.10042.5.0.7476.2024021016492746890,0
1.3.46.670589.11.10042.5.0.7476.2024021016501562921,0
1.3.46.670589.11.10042.5.0.7476.2024021016582701034,0
1.3.46.670589.11.10042.5.0.7664.2024010908114467242,1
1.3.46.670589.11.10042.5.0.7664.2024010908135565268,1
1.3.46.670589.11.10042.5.0.7664.2024010908145601299,1
1.3.46.670589.11.10042.5.0.920.2024010201234832518,0
1.3.46.670589.11.10042.5.0.920.2024010201265601579,0
1.3.46.670589.11.10042.5.0.920.2024010201253507552,0
1.3.46.670589.11.10042.5.0.7756.2023121516041893127,0
1.3.46.670589.11.10042.5.0.7756.2023121516045754128,0
1.3.46.670589.11.10042.5.0.7756.2023121516075509182,0
1.3.46.670589.11.10042.5.0.5556.2024030112345046074,0
1.3.46.670589.11.10042.5.0.5556.2024030112353145075,0
1.3.46.670589.11.10042.5.0.5556.2024030112363884106,0
1.3.46.670589.11.10042.5.0.1412.2024020416510028127,1
1.3.46.670589.11.10042.5.0.1412.2024020416515559128,1
1.3.46.670589.11.10042.5.0.1412.2024020416525535159,1
1.3.46.670589.11.10042.5.0.4776.2024021811171142671,0
1.3.46.670589.11.10042.5.0.4776.2024021811180792672,0
1.3.46.670589.11.10042.5.0.4776.2024021811204351728,0
1.3.46.670589.11.10042.5.0.2852.2024022610233676811,0
1.3.46.670589.11.10042.5.0.2852.2024022610241796812,0
1.3.46.670589.11.10042.5.0.2852.2024022610251792843,0
1.3.46.670589.11.10042.5.0.7548.2024022512321484882,0
1.3.46.670589.11.10042.5.0.7548.2024022512325946883,0
1.3.46.670589.11.10042.5.0.7548.2024022512340325914,0
1.3.46.670589.11.10042.5.0.7864.2023121811013235692,0
1.3.46.670589.11.10042.5.0.7864.2023121811021320693,0
1.3.46.670589.11.10042.5.0.7864.2023121811031350724,0
1.3.46.670589.11.10042.5.0.4724.2024031607532435470,0
1.3.46.670589.11.10042.5.0.4724.2024031607542212471,0
1.3.46.670589.11.10042.5.0.4724.2024031607552184502,0
1.3.46.670589.11.10042.5.0.1412.2024020607464712344,0
1.3.46.670589.11.10042.5.0.1412.2024020607474217345,0
1.3.46.670589.11.10042.5.0.1412.2024020607484212376,0
1.3.46.670589.11.10042.5.0.6840.2023122611584379967,0
1.3.46.670589.11.10042.5.0.6840.2023122612005726999,0
1.3.46.670589.11.10042.5.0.6840.2023122612015778089,0
1.3.46.670589.11.10042.5.0.4700.2024030909251373277,1
1.3.46.670589.11.10042.5.0.4700.2024030909263965309,1
1.3.46.670589.11.10042.5.0.4700.2024030909280500398,1
1.3.46.670589.11.10042.5.0.5596.2024031308233770273,0
1.3.46.670589.11.10042.5.0.5596.2024031308241870274,0
1.3.46.670589.11.10042.5.0.5596.2024031308251870305,0
1.3.46.670589.11.10042.5.0.8184.2024011308204026197,0
1.3.46.670589.11.10042.5.0.8184.2024011308211676198,0
1.3.46.670589.11.10042.5.0.8184.2024011308234026250,0
1.3.46.670589.11.10042.5.0.1412.2024020502094168589,0
1.3.46.670589.11.10042.5.0.1412.2024020502102259637,0
1.3.46.670589.11.10042.5.0.1412.2024020502112339668,0
1.3.46.670589.11.10042.5.0.6596.2024012101302309545,0
1.3.46.670589.11.10042.5.0.6596.2024012101285768512,0
1.3.46.670589.11.10042.5.0.6596.2024012101281212511,0
1.3.46.670589.11.10042.5.0.2424.2024020707272059131,0
1.3.46.670589.11.10042.5.0.2424.2024020707294000163,0
1.3.46.670589.11.10042.5.0.2424.2024020707281598132,0
1.3.46.670589.11.10042.5.0.2424.2024020709233671811,0
1.3.46.670589.11.10042.5.0.2424.2024020709242037812,0
1.3.46.670589.11.10042.5.0.2424.2024020709253310843,0
1.3.46.670589.11.10042.5.0.3364.2024011116540118612,0
1.3.46.670589.11.10042.5.0.3364.2024011116531779611,0
1.3.46.670589.11.10042.5.0.3364.2024011116552654643,0
1.3.46.670589.11.10042.5.0.3364.2024011118370745051,0
1.3.46.670589.11.10042.5.0.3364.2024011118383157082,0
1.3.46.670589.11.10042.5.0.3364.2024011118361207050,0
1.3.46.670589.11.10042.5.0.3364.2024011123440200172,0
1.3.46.670589.11.10042.5.0.3364.2024011123452729203,0
1.3.46.670589.11.10042.5.0.3364.2024011123431835171,0
1.3.46.670589.11.10042.5.0.3364.2024011201195993508,0
1.3.46.670589.11.10042.5.0.3364.2024011201212132533,0
1.3.46.670589.11.10042.5.0.3364.2024011201215956534,0
1.3.46.670589.11.10042.5.0.6840.2023122222360215076,0
1.3.46.670589.11.10042.5.0.6840.2023122222344271043,0
1.3.46.670589.11.10042.5.0.6840.2023122222334810042,0
1.3.46.670589.11.10042.5.0.6840.2023122223005514475,0
1.3.46.670589.11.10042.5.0.6840.2023122222593559442,0
1.3.46.670589.11.10042.5.0.6840.2023122222583821441,0
1.3.46.670589.11.10042.5.0.7984.2024022307072192994,0
1.3.46.670589.11.10042.5.0.7984.2024022307064079993,0
1.3.46.670589.11.10042.5.0.7984.2024022307082171025,0
1.3.46.670589.11.10042.5.0.7984.2024022308195334947,0
1.3.46.670589.11.10042.5.0.7984.2024022308181221915,0
1.3.46.670589.11.10042.5.0.7984.2024022308185309916,0
1.3.46.670589.11.10042.5.0.7984.2024022308372431269,0
